Name,ID,Genre,Popularity,Followers,Spotify URL,Nationality
2raumwohnung,6BHpFo1cbGCGLWh28wa43x,german pop,45,88804,"<a href=""https://open.spotify.com/artist/6BHpFo1cbGCGLWh28wa43x"" target=""_blank"">https://open.spotify.com/artist/6BHpFo1cbGCGLWh28wa43x</a>",German
Andrea Berg,5dXbkgq9goxRAwCFoNU9Dp,classic schlager,56,746443,"<a href=""https://open.spotify.com/artist/5dXbkgq9goxRAwCFoNU9Dp"" target=""_blank"">https://open.spotify.com/artist/5dXbkgq9goxRAwCFoNU9Dp</a>",German
Wise Guys,11YTrgsi6VjRCkExQBY13k,kabarett,46,140027,"<a href=""https://open.spotify.com/artist/11YTrgsi6VjRCkExQBY13k"" target=""_blank"">https://open.spotify.com/artist/11YTrgsi6VjRCkExQBY13k</a>",German
Pyrex,7h1amg0X7Q5d0D5KfuyKTg,italian hip hop,51,58295,"<a href=""https://open.spotify.com/artist/7h1amg0X7Q5d0D5KfuyKTg"" target=""_blank"">https://open.spotify.com/artist/7h1amg0X7Q5d0D5KfuyKTg</a>",German
Unheilig,6f1kv0aUPG9I0Rp3dmLCPi,dark rock,52,423774,"<a href=""https://open.spotify.com/artist/6f1kv0aUPG9I0Rp3dmLCPi"" target=""_blank"">https://open.spotify.com/artist/6f1kv0aUPG9I0Rp3dmLCPi</a>",German
Die Flippers,043PrBIjao3PCKicMRvbgf,classic schlager,53,181074,"<a href=""https://open.spotify.com/artist/043PrBIjao3PCKicMRvbgf"" target=""_blank"">https://open.spotify.com/artist/043PrBIjao3PCKicMRvbgf</a>",German
AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,cologne indie,67,1983550,"<a href=""https://open.spotify.com/artist/23xqmJEN3oVxwzqtNIyR5m"" target=""_blank"">https://open.spotify.com/artist/23xqmJEN3oVxwzqtNIyR5m</a>",German
Crocy Sarchiello,0cETk5FKRg8QMI7wu5Evmf,,23,1177,"<a href=""https://open.spotify.com/artist/0cETk5FKRg8QMI7wu5Evmf"" target=""_blank"">https://open.spotify.com/artist/0cETk5FKRg8QMI7wu5Evmf</a>",German
Culcha Candela,3gemH8D6fpu12DmTmUZYAL,german pop,61,404510,"<a href=""https://open.spotify.com/artist/3gemH8D6fpu12DmTmUZYAL"" target=""_blank"">https://open.spotify.com/artist/3gemH8D6fpu12DmTmUZYAL</a>",German
Samy Deluxe,7J207fU1tty4DWCIhJSzh0,german alternative rap,51,371767,"<a href=""https://open.spotify.com/artist/7J207fU1tty4DWCIhJSzh0"" target=""_blank"">https://open.spotify.com/artist/7J207fU1tty4DWCIhJSzh0</a>",German
Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,cantautora mexicana,76,2480854,"<a href=""https://open.spotify.com/artist/2QWIScpFDNxmS6ZEMIUvgm"" target=""_blank"">https://open.spotify.com/artist/2QWIScpFDNxmS6ZEMIUvgm</a>",German
Seeed,5ISjkNS17JpCwiFtW80lpV,german pop,60,899718,"<a href=""https://open.spotify.com/artist/5ISjkNS17JpCwiFtW80lpV"" target=""_blank"">https://open.spotify.com/artist/5ISjkNS17JpCwiFtW80lpV</a>",German
LaFee,3qhf2c1F1pN57xQ6cqoBwI,german pop,45,85762,"<a href=""https://open.spotify.com/artist/3qhf2c1F1pN57xQ6cqoBwI"" target=""_blank"">https://open.spotify.com/artist/3qhf2c1F1pN57xQ6cqoBwI</a>",German
Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,german pop,60,2940916,"<a href=""https://open.spotify.com/artist/7qXzy6c5RWT0XlVQcOBIDG"" target=""_blank"">https://open.spotify.com/artist/7qXzy6c5RWT0XlVQcOBIDG</a>",German
MIA.,1P1LggfvJ3LUvxlwmkvpHn,,0,21,"<a href=""https://open.spotify.com/artist/1P1LggfvJ3LUvxlwmkvpHn"" target=""_blank"">https://open.spotify.com/artist/1P1LggfvJ3LUvxlwmkvpHn</a>",German
Fettes Brot,3RRODs1rHC2ktLqyDDfgPH,german alternative rap,53,426247,"<a href=""https://open.spotify.com/artist/3RRODs1rHC2ktLqyDDfgPH"" target=""_blank"">https://open.spotify.com/artist/3RRODs1rHC2ktLqyDDfgPH</a>",German
Cassandra Steen,6wbgb7phg82I4tnO6GWMhr,german pop,48,105691,"<a href=""https://open.spotify.com/artist/6wbgb7phg82I4tnO6GWMhr"" target=""_blank"">https://open.spotify.com/artist/6wbgb7phg82I4tnO6GWMhr</a>",German
Bosse,5XKGXdgLuQCLdlyRbGBAwd,,0,6,"<a href=""https://open.spotify.com/artist/5XKGXdgLuQCLdlyRbGBAwd"" target=""_blank"">https://open.spotify.com/artist/5XKGXdgLuQCLdlyRbGBAwd</a>",German
K.I.Z,0bMt8SJlp0gFRUufzifS05,german hip hop,67,913884,"<a href=""https://open.spotify.com/artist/0bMt8SJlp0gFRUufzifS05"" target=""_blank"">https://open.spotify.com/artist/0bMt8SJlp0gFRUufzifS05</a>",German
Die Happy,5WvEHnWRNfz9AOLYclfsLM,german alternative rock,29,23310,"<a href=""https://open.spotify.com/artist/5WvEHnWRNfz9AOLYclfsLM"" target=""_blank"">https://open.spotify.com/artist/5WvEHnWRNfz9AOLYclfsLM</a>",German
Heino,7Jas1zNbsA6HPUn1FUrY3a,dansk comedy,20,276,"<a href=""https://open.spotify.com/artist/7Jas1zNbsA6HPUn1FUrY3a"" target=""_blank"">https://open.spotify.com/artist/7Jas1zNbsA6HPUn1FUrY3a</a>",German
Sido,4Yttlv9ndGjCDCVLqM7ACq,german hip hop,72,2407631,"<a href=""https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq"" target=""_blank"">https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq</a>",German
Cassandra Steen,6wbgb7phg82I4tnO6GWMhr,german pop,48,105691,"<a href=""https://open.spotify.com/artist/6wbgb7phg82I4tnO6GWMhr"" target=""_blank"">https://open.spotify.com/artist/6wbgb7phg82I4tnO6GWMhr</a>",German
Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,german pop,60,371628,"<a href=""https://open.spotify.com/artist/3rZBkgoRHG8M9jQL0QPNMi"" target=""_blank"">https://open.spotify.com/artist/3rZBkgoRHG8M9jQL0QPNMi</a>",German
Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,german pop,54,448797,"<a href=""https://open.spotify.com/artist/2UFKXTZgKtOTHSqMSyAcLO"" target=""_blank"">https://open.spotify.com/artist/2UFKXTZgKtOTHSqMSyAcLO</a>",German
La Superstar Delle Canzoni Per Bambini,5dFyXwFUfvd14Y4803enpe,musica per bambini,48,15478,"<a href=""https://open.spotify.com/artist/5dFyXwFUfvd14Y4803enpe"" target=""_blank"">https://open.spotify.com/artist/5dFyXwFUfvd14Y4803enpe</a>",German
Bosse,5XKGXdgLuQCLdlyRbGBAwd,,0,6,"<a href=""https://open.spotify.com/artist/5XKGXdgLuQCLdlyRbGBAwd"" target=""_blank"">https://open.spotify.com/artist/5XKGXdgLuQCLdlyRbGBAwd</a>",German
LaFee,3qhf2c1F1pN57xQ6cqoBwI,german pop,45,85762,"<a href=""https://open.spotify.com/artist/3qhf2c1F1pN57xQ6cqoBwI"" target=""_blank"">https://open.spotify.com/artist/3qhf2c1F1pN57xQ6cqoBwI</a>",German
