Titolo,ID,Durata,Spotify URL,URI,Album
Toro Loco,4lTFQjsjvuxTTq4L9qe82c,2.74,"<a href=""https://open.spotify.com/track/4lTFQjsjvuxTTq4L9qe82c"" target=""_blank"">https://open.spotify.com/track/4lTFQjsjvuxTTq4L9qe82c</a>",4lTFQjsjvuxTTq4L9qe82c,17
Gli amici miei - feat. Lazza,4BZCIqyBGmU1jeo4zPA8vb,4.48,"<a href=""https://open.spotify.com/track/4BZCIqyBGmU1jeo4zPA8vb"" target=""_blank"">https://open.spotify.com/track/4BZCIqyBGmU1jeo4zPA8vb</a>",4BZCIqyBGmU1jeo4zPA8vb,17
Medaglia,7AnQncZKcaqSq7peG0pvaQ,3.3,"<a href=""https://open.spotify.com/track/7AnQncZKcaqSq7peG0pvaQ"" target=""_blank"">https://open.spotify.com/track/7AnQncZKcaqSq7peG0pvaQ</a>",7AnQncZKcaqSq7peG0pvaQ,17
Il Seme del Male,7qcj4WcYAy8RUzu8QPUWSg,2.59,"<a href=""https://open.spotify.com/track/7qcj4WcYAy8RUzu8QPUWSg"" target=""_blank"">https://open.spotify.com/track/7qcj4WcYAy8RUzu8QPUWSg</a>",7qcj4WcYAy8RUzu8QPUWSg,17
Cowboy - feat. Tedua,3Pk5QS6oHK5qgCSmxaqwYn,3.01,"<a href=""https://open.spotify.com/track/3Pk5QS6oHK5qgCSmxaqwYn"" target=""_blank"">https://open.spotify.com/track/3Pk5QS6oHK5qgCSmxaqwYn</a>",3Pk5QS6oHK5qgCSmxaqwYn,17
Quello che non ho,3YJN7uSkunGJolNAb9JhiX,3.55,"<a href=""https://open.spotify.com/track/3YJN7uSkunGJolNAb9JhiX"" target=""_blank"">https://open.spotify.com/track/3YJN7uSkunGJolNAb9JhiX</a>",3YJN7uSkunGJolNAb9JhiX,17
Tijuana,2GSyQT0TRsOuaKyNt4msTi,3.03,"<a href=""https://open.spotify.com/track/2GSyQT0TRsOuaKyNt4msTi"" target=""_blank"">https://open.spotify.com/track/2GSyQT0TRsOuaKyNt4msTi</a>",2GSyQT0TRsOuaKyNt4msTi,Supereroe Bat Edition
Batman,1PNDIvLQ2rFQuLC2YncOR5,2.77,"<a href=""https://open.spotify.com/track/1PNDIvLQ2rFQuLC2YncOR5"" target=""_blank"">https://open.spotify.com/track/1PNDIvLQ2rFQuLC2YncOR5</a>",1PNDIvLQ2rFQuLC2YncOR5,Supereroe Bat Edition
Montecarlo,4TbB3Lj1R89e1hOF3Yx8sb,3.28,"<a href=""https://open.spotify.com/track/4TbB3Lj1R89e1hOF3Yx8sb"" target=""_blank"">https://open.spotify.com/track/4TbB3Lj1R89e1hOF3Yx8sb</a>",4TbB3Lj1R89e1hOF3Yx8sb,Supereroe Bat Edition
La mia malattia,40zlOHTyzTrXYdISfMU7X4,3.0,"<a href=""https://open.spotify.com/track/40zlOHTyzTrXYdISfMU7X4"" target=""_blank"">https://open.spotify.com/track/40zlOHTyzTrXYdISfMU7X4</a>",40zlOHTyzTrXYdISfMU7X4,Supereroe Bat Edition
Open Water,3jvrh4fxGq2N5Vfup80GF6,3.09,"<a href=""https://open.spotify.com/track/3jvrh4fxGq2N5Vfup80GF6"" target=""_blank"">https://open.spotify.com/track/3jvrh4fxGq2N5Vfup80GF6</a>",3jvrh4fxGq2N5Vfup80GF6,Supereroe Bat Edition
Fuoco e benzina,6tFqZrn8juKP7mjHsHi6Kx,3.49,"<a href=""https://open.spotify.com/track/6tFqZrn8juKP7mjHsHi6Kx"" target=""_blank"">https://open.spotify.com/track/6tFqZrn8juKP7mjHsHi6Kx</a>",6tFqZrn8juKP7mjHsHi6Kx,Supereroe Bat Edition
Cocaina,0IIAO3A7VGjt3H76Y5JuiQ,3.48,"<a href=""https://open.spotify.com/track/0IIAO3A7VGjt3H76Y5JuiQ"" target=""_blank"">https://open.spotify.com/track/0IIAO3A7VGjt3H76Y5JuiQ</a>",0IIAO3A7VGjt3H76Y5JuiQ,Supereroe Bat Edition
Donald Trump,53hFKKF9nj8x42N4zvCIaV,2.81,"<a href=""https://open.spotify.com/track/53hFKKF9nj8x42N4zvCIaV"" target=""_blank"">https://open.spotify.com/track/53hFKKF9nj8x42N4zvCIaV</a>",53hFKKF9nj8x42N4zvCIaV,Supereroe Bat Edition
Rollercoaster,3ivsN7ywKXoIvbpr6dINsq,3.46,"<a href=""https://open.spotify.com/track/3ivsN7ywKXoIvbpr6dINsq"" target=""_blank"">https://open.spotify.com/track/3ivsN7ywKXoIvbpr6dINsq</a>",3ivsN7ywKXoIvbpr6dINsq,Supereroe Bat Edition
Senza cuore & senza nome,7CSzO105but5zsxPjPPofL,2.91,"<a href=""https://open.spotify.com/track/7CSzO105but5zsxPjPPofL"" target=""_blank"">https://open.spotify.com/track/7CSzO105but5zsxPjPPofL</a>",7CSzO105but5zsxPjPPofL,Supereroe Bat Edition
Claro,58zZbpjzHkdChIAMrJoq9i,3.73,"<a href=""https://open.spotify.com/track/58zZbpjzHkdChIAMrJoq9i"" target=""_blank"">https://open.spotify.com/track/58zZbpjzHkdChIAMrJoq9i</a>",58zZbpjzHkdChIAMrJoq9i,Supereroe Bat Edition
Quella foto di noi due,1kWkHzfaazJZgaL16WkfS5,3.25,"<a href=""https://open.spotify.com/track/1kWkHzfaazJZgaL16WkfS5"" target=""_blank"">https://open.spotify.com/track/1kWkHzfaazJZgaL16WkfS5</a>",1kWkHzfaazJZgaL16WkfS5,Supereroe Bat Edition
Adios,7LQSIPEXiCb1ynoOzujuvQ,3.21,"<a href=""https://open.spotify.com/track/7LQSIPEXiCb1ynoOzujuvQ"" target=""_blank"">https://open.spotify.com/track/7LQSIPEXiCb1ynoOzujuvQ</a>",7LQSIPEXiCb1ynoOzujuvQ,Supereroe Bat Edition
Supereroe,0xghy9vnE4K1q34WfhfmXP,3.77,"<a href=""https://open.spotify.com/track/0xghy9vnE4K1q34WfhfmXP"" target=""_blank"">https://open.spotify.com/track/0xghy9vnE4K1q34WfhfmXP</a>",0xghy9vnE4K1q34WfhfmXP,Supereroe Bat Edition
Dope 2,05WoO4LmgR9PXGL9EpFb1a,2.86,"<a href=""https://open.spotify.com/track/05WoO4LmgR9PXGL9EpFb1a"" target=""_blank"">https://open.spotify.com/track/05WoO4LmgR9PXGL9EpFb1a</a>",05WoO4LmgR9PXGL9EpFb1a,Supereroe Bat Edition
Come fossimo cowboy,1cgtLiezsB2FdcfL79MJ1k,3.25,"<a href=""https://open.spotify.com/track/1cgtLiezsB2FdcfL79MJ1k"" target=""_blank"">https://open.spotify.com/track/1cgtLiezsB2FdcfL79MJ1k</a>",1cgtLiezsB2FdcfL79MJ1k,Supereroe Bat Edition
Mille strade,1LR4QF635P1eosTFIBduij,3.53,"<a href=""https://open.spotify.com/track/1LR4QF635P1eosTFIBduij"" target=""_blank"">https://open.spotify.com/track/1LR4QF635P1eosTFIBduij</a>",1LR4QF635P1eosTFIBduij,Supereroe Bat Edition
Open Water,3kGxtPDusqTr6r2N5k25t1,3.09,"<a href=""https://open.spotify.com/track/3kGxtPDusqTr6r2N5k25t1"" target=""_blank"">https://open.spotify.com/track/3kGxtPDusqTr6r2N5k25t1</a>",3kGxtPDusqTr6r2N5k25t1,Supereroe
Fuoco e benzina,4Fs1sEg9Mwn6vykFD89xvc,3.49,"<a href=""https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc"" target=""_blank"">https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc</a>",4Fs1sEg9Mwn6vykFD89xvc,Supereroe
